epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,397.17,1.05693,1.64165,1.01782,1.17243,0.56857,0.63333,0.61698,0.40375,0.56857,0.63333,0.61509,0.39396,1.21169,1.9187,1.22308,1.38902,0.000962146,0.000962146,0.000962146
35,408.794,1.06576,1.62841,1.02048,1.1834,0.7079,0.58517,0.68731,0.46888,0.71983,0.58914,0.69721,0.4633,1.16847,1.97229,1.07407,1.37107,0.000947999,0.000947999,0.000947999
36,420.215,1.02644,1.67266,0.97373,1.15148,0.71436,0.64444,0.67404,0.44881,0.72859,0.61667,0.65976,0.43987,1.19299,1.93364,1.11606,1.39739,0.000933851,0.000933851,0.000933851
37,431.801,1.08513,1.6708,1.00493,1.16817,0.68965,0.67714,0.69702,0.47983,0.69522,0.6827,0.70355,0.46983,1.15457,1.84775,1.03956,1.33307,0.000919704,0.000919704,0.000919704
38,443.384,1.04466,1.5524,0.95335,1.17805,0.72334,0.70556,0.70912,0.49126,0.72334,0.70556,0.7024,0.47303,1.12101,1.93479,1.0474,1.34527,0.000905557,0.000905557,0.000905557
39,455.155,0.99878,1.48206,0.8839,1.12747,0.70888,0.66657,0.68303,0.47159,0.73449,0.6823,0.71048,0.46669,1.15744,1.86662,1.09333,1.37644,0.00089141,0.00089141,0.00089141
40,466.747,1.02886,1.51704,0.92725,1.15982,0.69935,0.63333,0.68409,0.46461,0.71389,0.64436,0.69012,0.47063,1.16581,1.77133,1.0927,1.35941,0.000877263,0.000877263,0.000877263
41,478.533,1.00213,1.57583,0.91583,1.14347,0.69094,0.69103,0.6923,0.48392,0.70906,0.6878,0.70254,0.47236,1.0983,1.83243,1.05332,1.3085,0.000863116,0.000863116,0.000863116
42,490.433,0.99199,1.53325,0.91375,1.12544,0.67592,0.67433,0.67301,0.46725,0.67592,0.67433,0.67699,0.46434,1.11784,1.80587,1.13564,1.30719,0.000848969,0.000848969,0.000848969
43,501.837,1.01103,1.54979,0.92824,1.15307,0.62814,0.64444,0.64644,0.46143,0.6395,0.65556,0.67515,0.45221,1.13574,1.99475,1.09513,1.35722,0.000834822,0.000834822,0.000834822
44,513.374,1.00044,1.56583,0.8866,1.1368,0.70517,0.68323,0.70479,0.4948,0.70517,0.68323,0.70301,0.4789,1.1278,1.76672,1.01092,1.33366,0.000820675,0.000820675,0.000820675
45,527.243,1.01355,1.53027,0.89743,1.14909,0.65545,0.75556,0.69616,0.49127,0.66436,0.76667,0.71106,0.48719,1.1286,1.83448,0.97951,1.35823,0.000806528,0.000806528,0.000806528
46,547.91,0.98235,1.52298,0.91139,1.13317,0.69463,0.72222,0.70796,0.47755,0.69463,0.72222,0.7022,0.47367,1.12238,1.76618,1.01219,1.32666,0.00079238,0.00079238,0.00079238
47,559.701,0.95892,1.46564,0.85045,1.11048,0.7475,0.64221,0.73415,0.499,0.75269,0.64777,0.72903,0.48606,1.10286,2.04348,1.0544,1.30433,0.000778233,0.000778233,0.000778233
48,571.585,0.95433,1.50321,0.84198,1.12681,0.66094,0.75556,0.73289,0.49198,0.66094,0.75556,0.72647,0.48566,1.1547,1.95716,1.02879,1.35139,0.000764086,0.000764086,0.000764086
49,583.223,0.9556,1.49609,0.90156,1.12657,0.72471,0.72709,0.74118,0.50739,0.72471,0.72709,0.73909,0.49959,1.16943,1.75799,0.98297,1.37612,0.000749939,0.000749939,0.000749939
50,594.783,0.95241,1.49275,0.84376,1.12516,0.74718,0.65,0.69032,0.47243,0.74718,0.65,0.68674,0.47058,1.15562,1.88606,1.06415,1.35743,0.000735792,0.000735792,0.000735792
51,606.523,0.90176,1.45884,0.81225,1.08754,0.68945,0.70556,0.71151,0.47884,0.68945,0.70556,0.71228,0.47056,1.2121,1.81668,1.06015,1.38534,0.000721645,0.000721645,0.000721645
52,617.978,0.95093,1.49517,0.819,1.10529,0.6584,0.74912,0.73041,0.48447,0.81226,0.62023,0.719,0.47851,1.12851,1.76534,0.99306,1.36241,0.000707498,0.000707498,0.000707498
53,629.554,0.93725,1.44815,0.82299,1.10312,0.73641,0.68893,0.6813,0.46936,0.72849,0.69802,0.68779,0.46695,1.14931,1.82374,1.05824,1.37235,0.000693351,0.000693351,0.000693351
54,641.115,0.91753,1.3822,0.7881,1.09491,0.67891,0.70318,0.69911,0.4968,0.67891,0.70318,0.69442,0.48754,1.08075,1.89742,1.07271,1.32528,0.000679204,0.000679204,0.000679204
55,652.543,0.90423,1.41119,0.78604,1.10822,0.6491,0.69298,0.63675,0.44995,0.6586,0.70366,0.64531,0.43449,1.07455,2.00731,1.04811,1.31082,0.000665057,0.000665057,0.000665057
56,664.235,0.89031,1.36584,0.74403,1.08694,0.68856,0.72345,0.70671,0.48555,0.68856,0.72345,0.70518,0.47993,1.13603,1.79092,0.9993,1.34666,0.000650909,0.000650909,0.000650909
57,675.748,0.91675,1.42413,0.77096,1.09671,0.67174,0.75556,0.69061,0.47956,0.68408,0.76655,0.6917,0.46566,1.10245,1.8987,1.0688,1.32285,0.000636762,0.000636762,0.000636762
58,687.131,0.90993,1.40365,0.77005,1.09869,0.70012,0.71111,0.70046,0.48129,0.70012,0.71111,0.69894,0.47355,1.19697,2.05557,1.1259,1.40777,0.000622615,0.000622615,0.000622615
59,698.55,0.90118,1.43853,0.78741,1.08926,0.68228,0.69989,0.69361,0.47377,0.68228,0.69989,0.6879,0.47412,1.12318,1.84203,1.07766,1.36281,0.000608468,0.000608468,0.000608468
60,709.916,0.8634,1.33848,0.70306,1.04731,0.75548,0.65,0.69104,0.46361,0.75548,0.65,0.68207,0.45266,1.12646,1.81157,1.04896,1.38316,0.000594321,0.000594321,0.000594321
61,721.311,0.8584,1.34121,0.73806,1.05321,0.69582,0.73333,0.70101,0.48132,0.69582,0.73333,0.69928,0.47728,1.1103,1.8796,1.00282,1.38804,0.000580174,0.000580174,0.000580174
62,733.089,0.89057,1.39109,0.73725,1.08464,0.74386,0.67222,0.71379,0.49012,0.74386,0.67222,0.7078,0.4824,1.15583,1.91318,1.03868,1.38638,0.000566027,0.000566027,0.000566027
63,744.535,0.88537,1.3918,0.74227,1.073,0.73042,0.66111,0.70683,0.48869,0.73042,0.66111,0.69278,0.48088,1.11645,1.92297,1.00829,1.34663,0.00055188,0.00055188,0.00055188
64,756.099,0.81734,1.36289,0.69744,1.052,0.764,0.64444,0.72544,0.50452,0.7767,0.63861,0.72341,0.49934,1.1143,1.92793,1.03527,1.37477,0.000537733,0.000537733,0.000537733
65,767.572,0.86948,1.41226,0.72609,1.06587,0.77238,0.7,0.70981,0.49661,0.78911,0.70556,0.71029,0.48739,1.11285,1.88822,1.07862,1.35644,0.000523586,0.000523586,0.000523586
66,779.034,0.8915,1.37925,0.72476,1.07337,0.7283,0.6891,0.71475,0.49378,0.7283,0.6891,0.71692,0.48765,1.10755,1.95297,1.08315,1.35822,0.000509438,0.000509438,0.000509438
67,790.631,0.864,1.38151,0.70108,1.05569,0.74655,0.68889,0.6962,0.49483,0.74655,0.68889,0.68825,0.46966,1.12813,1.99284,1.01436,1.37201,0.000495291,0.000495291,0.000495291
68,802.152,0.88275,1.33423,0.70801,1.06626,0.74468,0.71421,0.71941,0.49638,0.74468,0.71421,0.71546,0.48443,1.13994,2.03427,1.04527,1.4003,0.000481144,0.000481144,0.000481144
69,813.675,0.85314,1.3349,0.71498,1.05415,0.71611,0.63333,0.67462,0.46877,0.71702,0.65556,0.68323,0.46633,1.16381,1.9422,1.12592,1.39427,0.000466997,0.000466997,0.000466997
70,825.418,0.86317,1.3096,0.67359,1.06431,0.7127,0.67778,0.6912,0.48248,0.7246,0.68889,0.68521,0.4671,1.10668,1.97402,1.10701,1.37554,0.00045285,0.00045285,0.00045285
71,836.982,0.81034,1.30078,0.6716,1.02414,0.76969,0.61667,0.66413,0.45847,0.7859,0.62778,0.66795,0.46098,1.12332,1.90622,1.11669,1.3798,0.000438703,0.000438703,0.000438703
72,848.312,0.84651,1.31405,0.68929,1.06197,0.72574,0.68484,0.69131,0.47572,0.72574,0.68484,0.68459,0.46985,1.0844,1.97636,1.07643,1.3496,0.000424556,0.000424556,0.000424556
73,859.757,0.82043,1.3245,0.67377,1.03238,0.70994,0.71959,0.70017,0.49574,0.70994,0.71959,0.69323,0.48147,1.08284,2.01497,0.96318,1.34488,0.000410409,0.000410409,0.000410409
74,871.234,0.81285,1.27483,0.64902,1.04335,0.72775,0.73378,0.71085,0.48484,0.72775,0.73378,0.70325,0.46979,1.13874,2.15349,1.02913,1.3958,0.000396262,0.000396262,0.000396262
