epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1009,1.61944,2.83496,3.00624,1.48165,0.3383,0.39444,0.28588,0.15833,0.35076,0.42222,0.30374,0.17868,1.44008,2.72512,5.19864,1.49883,0.00046412,0.00046412,0.00046412
2,24.9468,1.44557,2.2726,1.86727,1.39197,0.3391,0.42878,0.35574,0.20367,0.34728,0.43989,0.3597,0.20882,1.70705,3.04565,5.23599,1.89454,0.000931143,0.000931143,0.000931143
3,37.0001,1.51761,2.30734,1.84515,1.44454,0.25005,0.50339,0.32025,0.17866,0.45749,0.28889,0.24218,0.10808,1.736,8.548,3.06439,1.83719,0.00138873,0.00138873,0.00138873
4,49.7907,1.49675,2.18135,1.71309,1.44072,0.34771,0.36667,0.29332,0.15487,0.3404,0.35556,0.27939,0.13366,1.71115,3.82142,4.26827,1.90249,0.00138656,0.00138656,0.00138656
5,61.5074,1.46604,2.17474,1.66597,1.43899,0.34408,0.41702,0.30393,0.15606,0.38109,0.47222,0.30285,0.17134,1.72951,2.87834,2.5538,1.88724,0.00137241,0.00137241,0.00137241
6,73.5927,1.45114,2.21199,1.60165,1.41072,0.45727,0.52778,0.47328,0.29926,0.46794,0.53889,0.48107,0.30782,1.51276,2.36887,1.65568,1.55013,0.00135826,0.00135826,0.00135826
7,85.6274,1.40055,2.04351,1.51246,1.38898,0.53484,0.52778,0.53806,0.34437,0.53484,0.52778,0.53331,0.33413,1.44118,2.36968,1.56722,1.61096,0.00134412,0.00134412,0.00134412
8,97.537,1.39943,2.02225,1.53775,1.38063,0.34849,0.51111,0.42292,0.2563,0.37449,0.52222,0.43391,0.24762,1.36529,2.17933,1.90845,1.50292,0.00132997,0.00132997,0.00132997
9,109.439,1.34378,2.02615,1.46342,1.36223,0.48708,0.58131,0.54114,0.32203,0.75805,0.43333,0.54222,0.33429,1.4722,2.22149,1.4911,1.55964,0.00131582,0.00131582,0.00131582
10,120.871,1.35704,2.05958,1.42999,1.34919,0.56297,0.54444,0.53174,0.31239,0.59969,0.55556,0.53265,0.33314,1.48189,2.32717,1.61272,1.58395,0.00130168,0.00130168,0.00130168
11,132.451,1.29773,1.98067,1.38948,1.32108,0.553,0.56111,0.57102,0.382,0.5515,0.56111,0.57829,0.36273,1.26458,2.15024,1.64487,1.47877,0.00128753,0.00128753,0.00128753
12,144.149,1.2729,1.84176,1.34777,1.29562,0.68434,0.55084,0.62733,0.39361,0.69039,0.55639,0.6194,0.39453,1.29412,2.07624,1.33503,1.45772,0.00127338,0.00127338,0.00127338
13,155.768,1.29818,1.91363,1.35453,1.31881,0.6972,0.57222,0.63865,0.40629,0.6972,0.57222,0.63936,0.40977,1.30203,1.86045,1.36012,1.43706,0.00125923,0.00125923,0.00125923
14,167.4,1.23637,1.80037,1.32128,1.28,0.60116,0.57222,0.5583,0.36523,0.58801,0.5705,0.54793,0.36616,1.28891,1.97532,1.57197,1.45865,0.00124509,0.00124509,0.00124509
15,178.785,1.23318,1.87662,1.35491,1.29956,0.57891,0.7188,0.65336,0.42366,0.66502,0.57948,0.64426,0.41212,1.26141,1.9988,1.34273,1.45212,0.00123094,0.00123094,0.00123094
16,190.398,1.23143,1.88526,1.27604,1.26911,0.56375,0.63333,0.58345,0.38537,0.56947,0.60564,0.60388,0.37121,1.24711,2.01575,1.36348,1.44882,0.00121679,0.00121679,0.00121679
17,201.945,1.25547,1.89377,1.31164,1.29335,0.71955,0.53333,0.60809,0.3945,0.62194,0.63665,0.6153,0.40205,1.29727,2.0024,1.30206,1.4236,0.00120265,0.00120265,0.00120265
18,213.489,1.15778,1.77046,1.20249,1.22867,0.57864,0.63278,0.65571,0.43104,0.67095,0.59444,0.65358,0.42144,1.18428,1.91377,1.21156,1.38899,0.0011885,0.0011885,0.0011885
19,225.056,1.16195,1.77375,1.25068,1.21635,0.70776,0.57372,0.63309,0.39878,0.72714,0.58448,0.64516,0.41417,1.30191,1.96718,1.26301,1.4644,0.00117435,0.00117435,0.00117435
20,236.878,1.21419,1.79592,1.23202,1.27507,0.5831,0.76667,0.6861,0.45683,0.5831,0.76667,0.68242,0.44981,1.18989,1.88027,1.19461,1.37492,0.00116021,0.00116021,0.00116021
21,248.938,1.18688,1.72053,1.19084,1.24415,0.72258,0.56381,0.66428,0.43991,0.71296,0.54693,0.64768,0.43926,1.22558,1.92566,1.17837,1.42304,0.00114606,0.00114606,0.00114606
22,260.492,1.12545,1.74345,1.20805,1.22913,0.64168,0.64444,0.63384,0.4201,0.63707,0.63333,0.62915,0.42209,1.29562,1.98505,1.56989,1.43892,0.00113191,0.00113191,0.00113191
23,271.742,1.11588,1.74258,1.18011,1.22805,0.69658,0.64068,0.69032,0.45186,0.69658,0.64068,0.68515,0.45457,1.21857,1.89694,1.20805,1.39571,0.00111776,0.00111776,0.00111776
24,282.725,1.10755,1.74742,1.13844,1.20383,0.63191,0.66363,0.67225,0.4435,0.64585,0.67443,0.68746,0.44931,1.21539,1.98954,1.1695,1.39845,0.00110362,0.00110362,0.00110362
25,294.045,1.11162,1.69893,1.14449,1.20184,0.62362,0.71111,0.67826,0.46057,0.61842,0.70556,0.67485,0.45721,1.15102,1.80772,1.15387,1.34012,0.00108947,0.00108947,0.00108947
26,305.347,1.10216,1.70806,1.12835,1.20211,0.6348,0.58789,0.61784,0.42869,0.64995,0.59762,0.62925,0.41409,1.19337,1.84175,1.23511,1.35378,0.00107532,0.00107532,0.00107532
27,316.808,1.09773,1.64001,1.12213,1.2036,0.62109,0.61667,0.61272,0.40844,0.63939,0.59517,0.6185,0.40068,1.23225,1.80133,1.29336,1.4069,0.00106118,0.00106118,0.00106118
28,328.149,1.09149,1.71146,1.13866,1.20497,0.74796,0.6133,0.68162,0.44615,0.71656,0.66667,0.68306,0.44281,1.2261,1.81194,1.17706,1.40014,0.00104703,0.00104703,0.00104703
29,339.202,1.08591,1.61121,1.0349,1.16998,0.73945,0.66111,0.66931,0.42996,0.73945,0.66111,0.67432,0.44096,1.29084,1.89593,1.12113,1.39051,0.00103288,0.00103288,0.00103288
30,350.22,1.07335,1.59637,1.02512,1.17356,0.68777,0.65556,0.64517,0.44613,0.68777,0.65556,0.6459,0.43844,1.15024,1.85316,1.10821,1.34876,0.00101873,0.00101873,0.00101873
31,361.892,1.055,1.56802,0.9743,1.17958,0.6934,0.68333,0.68654,0.46304,0.6934,0.68333,0.68659,0.45428,1.1726,1.92163,1.09706,1.35598,0.00100459,0.00100459,0.00100459
32,373.787,1.07637,1.64599,1.05873,1.19199,0.63196,0.63335,0.639,0.43197,0.64411,0.6488,0.64722,0.43343,1.18625,1.96107,1.18684,1.35772,0.00099044,0.00099044,0.00099044
33,385.404,1.04531,1.60299,1.04291,1.16783,0.70123,0.64444,0.68864,0.47637,0.73212,0.65,0.7062,0.47036,1.18386,1.85408,1.05527,1.37833,0.000976293,0.000976293,0.000976293
