epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,290.62,1.08998,1.63349,1.13985,1.13108,0.79731,0.55,0.6603,0.44935,0.83358,0.56111,0.67166,0.42552,1.16889,1.96614,1.14869,1.23401,0.00101873,0.00101873,0.00101873
31,300.373,1.11055,1.65968,1.1092,1.1531,0.69179,0.68333,0.7024,0.45181,0.73363,0.64521,0.7007,0.4465,1.20265,1.88108,1.1515,1.28956,0.00100459,0.00100459,0.00100459
32,309.981,1.09378,1.69338,1.14439,1.14843,0.47964,0.63889,0.57682,0.39965,0.53404,0.62215,0.58792,0.39465,1.1404,1.80158,1.27761,1.25842,0.00099044,0.00099044,0.00099044
33,319.579,1.09261,1.64579,1.12799,1.1309,0.651,0.62321,0.68195,0.46053,0.66552,0.62222,0.69103,0.45506,1.13405,1.81487,1.12653,1.23412,0.000976293,0.000976293,0.000976293
34,329.569,1.08929,1.69693,1.10701,1.13895,0.74527,0.61111,0.64948,0.41772,0.69683,0.62778,0.64616,0.41118,1.24122,1.89123,1.20077,1.29408,0.000962146,0.000962146,0.000962146
35,339.237,1.10812,1.72069,1.12521,1.15282,0.70421,0.65556,0.71401,0.46064,0.70209,0.66667,0.72061,0.46292,1.20426,1.96868,1.06708,1.29353,0.000947999,0.000947999,0.000947999
36,348.845,1.10308,1.71673,1.10245,1.13022,0.74555,0.66901,0.71381,0.48602,0.74555,0.66901,0.71246,0.47222,1.16517,1.78321,1.11662,1.22249,0.000933851,0.000933851,0.000933851
37,358.238,1.12995,1.72532,1.12641,1.13687,0.60914,0.59465,0.61105,0.40936,0.59545,0.58408,0.60082,0.40548,1.14196,1.82622,1.17513,1.22274,0.000919704,0.000919704,0.000919704
38,367.752,1.0941,1.59989,1.10291,1.14449,0.81271,0.64444,0.7201,0.4748,0.80916,0.64444,0.71599,0.45252,1.17754,1.87665,1.07013,1.21658,0.000905557,0.000905557,0.000905557
39,377.623,1.04063,1.58265,1.01675,1.10016,0.68993,0.64941,0.66041,0.43844,0.69716,0.63889,0.65405,0.42182,1.21322,1.85289,1.22261,1.26873,0.00089141,0.00089141,0.00089141
40,387.472,1.0544,1.58002,1.03719,1.12011,0.55477,0.71111,0.68194,0.45012,0.55991,0.72222,0.68737,0.45985,1.14707,1.82938,1.1394,1.20334,0.000877263,0.000877263,0.000877263
41,397.009,1.04531,1.63217,1.05417,1.11686,0.64736,0.65443,0.64479,0.43173,0.66342,0.65661,0.64419,0.4212,1.14762,1.86043,1.21199,1.21597,0.000863116,0.000863116,0.000863116
42,406.762,1.04786,1.63128,1.03863,1.09805,0.65128,0.7,0.6651,0.45073,0.66072,0.71111,0.67746,0.45091,1.13755,1.72843,1.07791,1.21715,0.000848969,0.000848969,0.000848969
43,416.301,1.05832,1.6138,1.05391,1.12193,0.7133,0.61667,0.68597,0.46638,0.7133,0.61667,0.6846,0.44814,1.10138,1.82779,1.08094,1.20157,0.000834822,0.000834822,0.000834822
44,425.846,1.069,1.64916,1.04467,1.12423,0.68209,0.67222,0.69398,0.46823,0.68209,0.67222,0.69345,0.46119,1.13277,1.76466,1.08791,1.22054,0.000820675,0.000820675,0.000820675
45,435.645,1.06251,1.62704,1.00809,1.12628,0.76712,0.65191,0.7114,0.45924,0.74269,0.63718,0.70787,0.45648,1.13286,1.79725,1.10596,1.22044,0.000806528,0.000806528,0.000806528
46,445.176,1.0326,1.62091,1.05294,1.10308,0.74103,0.63889,0.72341,0.48283,0.74103,0.63889,0.72321,0.48116,1.15647,1.74605,1.05682,1.22299,0.00079238,0.00079238,0.00079238
47,454.831,1.03471,1.53093,0.97792,1.10691,0.6792,0.66111,0.70476,0.46344,0.8285,0.56625,0.69757,0.45683,1.14445,1.88406,1.05792,1.24609,0.000778233,0.000778233,0.000778233
48,464.671,1.02528,1.58498,0.98446,1.10205,0.70582,0.66948,0.68955,0.47358,0.7136,0.68804,0.69193,0.45083,1.13634,1.77979,1.14777,1.23573,0.000764086,0.000764086,0.000764086
49,474.532,1.04182,1.60391,1.02993,1.10136,0.65701,0.70556,0.72806,0.49428,0.73761,0.67084,0.72583,0.48874,1.11303,1.81923,0.989,1.20837,0.000749939,0.000749939,0.000749939
50,484.036,1.00749,1.58535,0.96688,1.09538,0.73001,0.69444,0.73854,0.49963,0.73001,0.69444,0.73929,0.46623,1.18587,1.80663,1.01631,1.22144,0.000735792,0.000735792,0.000735792
51,493.967,0.99193,1.53943,0.9376,1.08553,0.73688,0.63333,0.70247,0.45346,0.73688,0.63333,0.69807,0.4465,1.1621,1.85062,1.18384,1.25469,0.000721645,0.000721645,0.000721645
52,503.493,1.01744,1.60288,0.95792,1.10566,0.81944,0.66646,0.74224,0.49693,0.81944,0.66646,0.74102,0.47963,1.14592,1.84165,1.00257,1.2453,0.000707498,0.000707498,0.000707498
53,513.2,1.01489,1.55556,1.00036,1.09655,0.67035,0.67408,0.7109,0.48431,0.67574,0.67964,0.70843,0.46342,1.12555,1.80407,1.0701,1.22258,0.000693351,0.000693351,0.000693351
54,523.157,1.01317,1.50761,0.94387,1.09619,0.68401,0.6479,0.66559,0.4615,0.68401,0.6479,0.66124,0.43376,1.13942,1.80675,1.05526,1.24579,0.000679204,0.000679204,0.000679204
55,532.599,0.98711,1.49887,0.93271,1.09397,0.74249,0.57778,0.68947,0.45308,0.74249,0.57778,0.68539,0.45793,1.14428,1.78719,1.09511,1.21196,0.000665057,0.000665057,0.000665057
