epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,300.449,1.49185,1.86358,1.66809,0.34297,0.72216,0.3853,0.22499,1.49261,1.81811,1.61429,0.000990365,0.000990365,0.000990365
43,307.988,1.50235,1.88542,1.68245,0.32458,0.68589,0.36381,0.18797,1.50906,1.83922,1.64176,0.000973861,0.000973861,0.000973861
44,313.503,1.49241,1.84328,1.67596,0.35218,0.62229,0.38786,0.16426,1.50786,1.881,1.63377,0.000957358,0.000957358,0.000957358
45,320.686,1.57388,1.88416,1.74205,0.35351,0.61646,0.37941,0.14669,1.64799,1.96092,1.76249,0.000940855,0.000940855,0.000940855
46,327.36,1.47923,1.85395,1.67241,0.34825,0.64587,0.36729,0.13142,1.87167,1.98563,1.95878,0.000924352,0.000924352,0.000924352
47,334.42,1.44043,1.81361,1.60827,0.36734,0.70603,0.41739,0.16236,1.96864,1.97234,2.06998,0.000907848,0.000907848,0.000907848
48,341.406,1.46918,1.86725,1.64574,0.38052,0.76066,0.49629,0.23847,1.47853,1.76855,1.54429,0.000891345,0.000891345,0.000891345
49,347.219,1.59011,1.88682,1.72921,0.45696,0.62128,0.53866,0.26014,1.47234,1.74959,1.53114,0.000874842,0.000874842,0.000874842
50,353.83,1.43076,1.80109,1.60102,0.38017,0.85728,0.55102,0.26796,1.36162,1.65198,1.43725,0.000858338,0.000858338,0.000858338
51,359.52,1.44924,1.81871,1.62374,0.39265,0.90268,0.53341,0.23603,1.54401,1.73457,1.57776,0.000841835,0.000841835,0.000841835
52,366.546,1.49378,1.81576,1.6478,0.40763,0.72789,0.6239,0.31163,1.43028,1.64639,1.48967,0.000825332,0.000825332,0.000825332
53,373.364,1.42768,1.79367,1.60148,0.53299,0.55665,0.55233,0.29175,1.46231,1.64919,1.52615,0.000808828,0.000808828,0.000808828
54,381.399,1.3816,1.75682,1.56527,0.44528,0.84506,0.56316,0.30146,1.39718,1.6391,1.4842,0.000792325,0.000792325,0.000792325
55,387.046,1.4617,1.77418,1.61227,0.48458,0.78523,0.5726,0.30885,1.35978,1.61814,1.46036,0.000775822,0.000775822,0.000775822
56,393.445,1.47747,1.75864,1.62464,0.48587,0.77749,0.5011,0.27259,1.36917,1.59116,1.4477,0.000759318,0.000759318,0.000759318
57,399.596,1.46215,1.75831,1.63663,0.48498,0.78976,0.50196,0.23282,1.66512,1.69874,1.64407,0.000742815,0.000742815,0.000742815
58,405.26,1.45573,1.77744,1.63631,0.41697,0.70045,0.41628,0.16848,2.17799,2.01214,2.14846,0.000726312,0.000726312,0.000726312
59,411.416,1.43102,1.77769,1.61492,0.47231,0.8134,0.49943,0.22889,1.68083,1.78064,1.67302,0.000709809,0.000709809,0.000709809
60,418.41,1.43863,1.77611,1.63439,0.42323,0.87081,0.51024,0.26804,1.32989,1.60816,1.43866,0.000693305,0.000693305,0.000693305
61,425.291,1.4151,1.68358,1.58336,0.39465,0.8943,0.47831,0.22957,1.53244,1.66785,1.55271,0.000676802,0.000676802,0.000676802
62,430.984,1.41614,1.73929,1.58781,0.41788,0.88255,0.55867,0.30114,1.4661,1.62541,1.5032,0.000660299,0.000660299,0.000660299
63,436.846,1.36048,1.68303,1.53234,0.41232,0.83725,0.59815,0.30974,1.48186,1.60898,1.50737,0.000643795,0.000643795,0.000643795
64,442.665,1.37445,1.67564,1.53838,0.44295,0.82047,0.59409,0.31008,1.32873,1.56265,1.41294,0.000627292,0.000627292,0.000627292
65,449.719,1.33844,1.72666,1.54706,0.45447,0.86913,0.56754,0.29605,1.44718,1.61527,1.49909,0.000610789,0.000610789,0.000610789
66,455.133,1.3426,1.69034,1.53191,0.43427,0.91282,0.57262,0.2904,1.41087,1.51196,1.46815,0.000594286,0.000594286,0.000594286
67,462.495,1.38004,1.66457,1.53782,0.41691,0.96454,0.626,0.31076,1.37514,1.48261,1.44348,0.000577782,0.000577782,0.000577782
68,469.702,1.36283,1.64878,1.5242,0.44245,0.95216,0.62413,0.34896,1.26828,1.43225,1.37196,0.000561279,0.000561279,0.000561279
69,476.352,1.32501,1.63354,1.49408,0.47317,0.91681,0.6439,0.37704,1.27842,1.42122,1.37016,0.000544776,0.000544776,0.000544776
70,483.59,1.3387,1.62706,1.49433,0.44269,0.96477,0.63032,0.37619,1.24076,1.41519,1.34447,0.000528272,0.000528272,0.000528272
71,489.181,1.35005,1.65328,1.52646,0.45389,0.95786,0.62151,0.37795,1.23629,1.42018,1.33996,0.000511769,0.000511769,0.000511769
72,494.893,1.31373,1.64576,1.5079,0.47881,0.91375,0.60772,0.36009,1.25456,1.43401,1.35443,0.000495266,0.000495266,0.000495266
73,502.354,1.29628,1.60139,1.47429,0.48424,0.88087,0.60355,0.36526,1.20561,1.43128,1.33613,0.000478762,0.000478762,0.000478762
74,508.424,1.33283,1.61712,1.50473,0.45808,0.86242,0.62275,0.34098,1.40918,1.53106,1.45407,0.000462259,0.000462259,0.000462259
75,513.323,1.31396,1.61803,1.49053,0.48243,0.80784,0.62178,0.33239,1.36698,1.52487,1.4346,0.000445756,0.000445756,0.000445756
76,520.098,1.27941,1.61267,1.46784,0.49809,0.86745,0.59182,0.31613,1.41982,1.52595,1.4804,0.000429253,0.000429253,0.000429253
77,527.015,1.33398,1.59155,1.49298,0.49222,0.82991,0.5838,0.27635,1.64413,1.59808,1.63201,0.000412749,0.000412749,0.000412749
78,533.786,1.40513,1.68992,1.5896,0.40373,0.81603,0.48878,0.16948,2.13409,1.84581,2.11058,0.000396246,0.000396246,0.000396246
79,540.741,1.32096,1.61135,1.50451,0.45981,0.74497,0.5312,0.20915,1.91204,1.73001,1.89586,0.000379743,0.000379743,0.000379743
80,546.117,1.27117,1.60758,1.47757,0.50327,0.84899,0.62006,0.31829,1.39719,1.46224,1.43587,0.000363239,0.000363239,0.000363239
81,552.527,1.29535,1.58324,1.48899,0.5023,0.83054,0.63782,0.35723,1.30307,1.41205,1.36775,0.000346736,0.000346736,0.000346736
82,559.383,1.28029,1.57279,1.46716,0.51149,0.85403,0.66867,0.41473,1.15483,1.35638,1.29617,0.000330233,0.000330233,0.000330233
83,565.601,1.2734,1.53736,1.45527,0.49694,0.8824,0.67163,0.40987,1.16964,1.35254,1.30704,0.000313729,0.000313729,0.000313729
84,571.804,1.28216,1.59485,1.47179,0.51863,0.78691,0.64504,0.25983,1.70342,1.58896,1.661,0.000297226,0.000297226,0.000297226
85,578.398,1.25754,1.55928,1.45054,0.52279,0.75,0.62232,0.20444,1.97444,1.73258,1.91014,0.000280723,0.000280723,0.000280723
