epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,292.149,1.06189,1.59351,1.07757,1.13208,0.67036,0.68849,0.69767,0.49605,0.71169,0.63203,0.68694,0.48407,1.16236,1.87743,1.11571,1.30581,0.00101873,0.00101873,0.00101873
31,301.902,1.07103,1.60714,1.06018,1.14885,0.67673,0.70556,0.72155,0.46473,0.6858,0.71667,0.71769,0.47559,1.18286,1.81531,1.09892,1.32757,0.00100459,0.00100459,0.00100459
32,311.51,1.0561,1.63662,1.07558,1.13821,0.67075,0.67396,0.65689,0.44266,0.67075,0.67396,0.65215,0.44365,1.15744,1.77693,1.20674,1.28117,0.00099044,0.00099044,0.00099044
33,321.075,1.06433,1.60505,1.06188,1.13194,0.67924,0.63889,0.69719,0.46271,0.67258,0.63889,0.68997,0.45797,1.1671,1.9497,1.18166,1.28878,0.000976293,0.000976293,0.000976293
34,330.865,1.06758,1.67194,1.05692,1.14253,0.78228,0.60556,0.7067,0.47539,0.78228,0.60556,0.70307,0.45638,1.13441,1.83483,1.12899,1.23943,0.000962146,0.000962146,0.000962146
35,340.26,1.06414,1.66758,1.07,1.14359,0.6943,0.72979,0.70255,0.47464,0.6943,0.72979,0.70133,0.48023,1.18292,1.73709,1.10744,1.31012,0.000947999,0.000947999,0.000947999
36,349.906,1.05522,1.64295,1.06076,1.12091,0.70916,0.68333,0.68113,0.46316,0.70916,0.68333,0.67705,0.45057,1.16608,1.83395,1.0991,1.28778,0.000933851,0.000933851,0.000933851
37,359.427,1.09507,1.70345,1.07564,1.13205,0.70232,0.70744,0.70252,0.45859,0.68032,0.7,0.68491,0.45134,1.17824,1.77456,1.12957,1.27076,0.000919704,0.000919704,0.000919704
38,368.876,1.03815,1.55569,1.01774,1.13185,0.67904,0.65858,0.69334,0.48579,0.67904,0.65858,0.68166,0.46388,1.14061,1.83268,1.14951,1.28522,0.000905557,0.000905557,0.000905557
39,378.606,1.00065,1.52802,0.94636,1.08787,0.77191,0.66578,0.72049,0.48777,0.73957,0.65,0.69678,0.46552,1.1443,1.92963,1.08877,1.27777,0.00089141,0.00089141,0.00089141
40,388.378,1.03319,1.55742,0.95528,1.12859,0.63526,0.75556,0.69103,0.46986,0.63575,0.74163,0.67938,0.46041,1.1633,1.85504,1.08391,1.28132,0.000877263,0.000877263,0.000877263
41,397.75,1.03042,1.5843,0.98182,1.12353,0.69723,0.73709,0.69681,0.47969,0.70384,0.74265,0.70122,0.46706,1.12856,1.81359,1.09366,1.28435,0.000863116,0.000863116,0.000863116
42,407.307,1.00319,1.57665,0.9629,1.10327,0.6058,0.73889,0.66106,0.44772,0.59684,0.72778,0.64907,0.43726,1.10304,1.66996,1.10604,1.27541,0.000848969,0.000848969,0.000848969
43,416.667,1.02782,1.55014,0.98646,1.12506,0.73635,0.68863,0.70828,0.49628,0.73635,0.68863,0.70334,0.47283,1.11268,1.85017,1.06305,1.27814,0.000834822,0.000834822,0.000834822
44,426.373,1.01245,1.57352,0.92786,1.10891,0.66899,0.71667,0.70653,0.48296,0.65855,0.71957,0.70062,0.46726,1.1725,1.80189,1.12737,1.32485,0.000820675,0.000820675,0.000820675
45,436.077,1.02219,1.56459,0.94572,1.12334,0.69161,0.69149,0.7188,0.4991,0.68353,0.67778,0.71304,0.48793,1.08994,1.73599,0.9978,1.26848,0.000806528,0.000806528,0.000806528
46,445.52,0.99408,1.56711,0.95661,1.10097,0.67411,0.71741,0.71881,0.49277,0.68445,0.72626,0.72662,0.4954,1.1382,1.75387,0.99832,1.27564,0.00079238,0.00079238,0.00079238
47,454.893,0.99093,1.48828,0.89622,1.09043,0.70926,0.65461,0.68065,0.48438,0.71451,0.6598,0.67906,0.46272,1.147,1.98797,1.0937,1.30348,0.000778233,0.000778233,0.000778233
48,464.288,0.98361,1.53962,0.89709,1.09294,0.72715,0.71161,0.69034,0.47468,0.72715,0.71161,0.69216,0.47933,1.17641,1.83724,1.15101,1.33009,0.000764086,0.000764086,0.000764086
49,473.93,0.99983,1.50945,0.92566,1.09354,0.71464,0.68889,0.63315,0.42374,0.7081,0.68333,0.61952,0.42649,1.18918,1.87322,1.16478,1.32009,0.000749939,0.000749939,0.000749939
50,483.35,0.98061,1.53235,0.89001,1.09538,0.71438,0.72778,0.71689,0.49626,0.72618,0.73889,0.71392,0.47945,1.11265,1.76472,1.10298,1.27779,0.000735792,0.000735792,0.000735792
51,492.844,0.94162,1.50909,0.8788,1.08226,0.67033,0.67778,0.72892,0.49522,0.68383,0.68889,0.73845,0.48761,1.135,1.74199,1.0525,1.30151,0.000721645,0.000721645,0.000721645
52,502.292,0.98161,1.52439,0.87525,1.08587,0.73342,0.65,0.7009,0.47028,0.74744,0.63594,0.72476,0.47432,1.11974,1.74858,1.08309,1.28632,0.000707498,0.000707498,0.000707498
53,512.079,0.96875,1.4874,0.90386,1.08726,0.68245,0.65208,0.65235,0.45715,0.68245,0.65208,0.66403,0.44788,1.11395,1.84187,1.16916,1.24724,0.000693351,0.000693351,0.000693351
54,521.716,0.96171,1.45834,0.86636,1.08618,0.72143,0.73882,0.74093,0.49891,0.72143,0.73882,0.73349,0.50008,1.15214,1.75166,1.06453,1.32961,0.000679204,0.000679204,0.000679204
55,531.181,0.93672,1.4385,0.84507,1.08344,0.67671,0.68889,0.71388,0.49472,0.67671,0.68889,0.7072,0.48128,1.13763,1.80312,1.04773,1.26769,0.000665057,0.000665057,0.000665057
56,540.729,0.90089,1.37898,0.7981,1.06045,0.69897,0.68629,0.69074,0.46975,0.69897,0.68629,0.68427,0.46984,1.18272,1.75937,1.08544,1.34067,0.000650909,0.000650909,0.000650909
57,550.302,0.93908,1.46435,0.83379,1.08306,0.7366,0.69444,0.72334,0.50088,0.7366,0.69444,0.72334,0.48587,1.13464,1.80426,1.06133,1.31085,0.000636762,0.000636762,0.000636762
58,559.692,0.94948,1.4674,0.83212,1.09113,0.72623,0.69191,0.6701,0.46255,0.70353,0.68177,0.66168,0.4386,1.17165,1.90426,1.07029,1.32869,0.000622615,0.000622615,0.000622615
59,569.144,0.9193,1.4621,0.81582,1.0696,0.73787,0.67412,0.73153,0.50684,0.67171,0.75,0.72893,0.49364,1.11699,1.74448,1.01788,1.28066,0.000608468,0.000608468,0.000608468
