epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.2651,1.61845,2.86948,2.92452,1.54876,0.04797,0.23333,0.02821,0.00783,0.04819,0.24444,0.02725,0.00685,1.92058,13.1203,inf,3.09335,0.00046412,0.00046412,0.00046412
2,34.1286,1.48537,2.33022,1.95171,1.44242,0.0058,0.46667,0.00415,0.0016,0.00408,0.19444,0.00215,0.00093,2.67287,40.5101,inf,4.98581,0.000931143,0.000931143,0.000931143
3,50.6259,1.62793,2.45855,1.9433,1.58724,0.00107,0.32222,0.00073,0.00034,0.00074,0.15556,0.00039,0.00018,2.95779,100.729,inf,3.16475,0.00138873,0.00138873,0.00138873
4,67.0833,1.54065,2.29104,1.83746,1.5161,0.01523,0.08333,0.005,0.00106,0.01057,0.05556,0.003,0.00066,3.46022,50.645,103.114,8.08303,0.00138656,0.00138656,0.00138656
5,83.7241,1.49466,2.22254,1.77036,1.51472,0.45458,0.38794,0.36872,0.20261,0.41917,0.36667,0.34593,0.19476,1.6604,3.04154,2.6622,1.94998,0.00137241,0.00137241,0.00137241
6,100.559,1.46825,2.20703,1.71678,1.4726,0.49338,0.42778,0.43337,0.24768,0.49338,0.42778,0.43402,0.24969,1.4808,2.5679,2.14319,1.64218,0.00135826,0.00135826,0.00135826
7,117.248,1.41531,2.13361,1.6283,1.47113,0.53669,0.51697,0.46435,0.29247,0.54446,0.53889,0.48134,0.29677,1.44209,2.35539,1.87307,1.64737,0.00134412,0.00134412,0.00134412
8,133.736,1.37932,2.09409,1.57068,1.43401,0.45803,0.39847,0.36544,0.22573,0.45221,0.40281,0.36497,0.19722,1.6065,2.68881,2.13082,1.77773,0.00132997,0.00132997,0.00132997
9,150.113,1.33127,2.05318,1.48002,1.40117,0.61377,0.54354,0.5723,0.33855,0.59817,0.53243,0.54153,0.32546,1.38831,2.23924,1.73304,1.5483,0.00131582,0.00131582,0.00131582
10,166.717,1.3523,2.06582,1.5001,1.39054,0.57758,0.51111,0.53782,0.36227,0.6249,0.52984,0.55109,0.35549,1.30479,2.21659,1.56553,1.49234,0.00130168,0.00130168,0.00130168
11,183.739,1.34749,2.03434,1.46586,1.398,0.721,0.48333,0.5817,0.35777,0.72027,0.48889,0.58545,0.35142,1.34719,2.5399,1.97552,1.52962,0.00128753,0.00128753,0.00128753
12,200.729,1.30257,1.9119,1.39729,1.36344,0.41763,0.50556,0.50369,0.30351,0.42319,0.49444,0.50237,0.31253,1.48083,2.42934,1.57093,1.66347,0.00127338,0.00127338,0.00127338
13,217.423,1.28276,1.94678,1.39431,1.35173,0.64664,0.59444,0.61143,0.37746,0.54719,0.68889,0.60669,0.38322,1.34926,1.97761,1.43028,1.53073,0.00125923,0.00125923,0.00125923
14,234.544,1.26248,1.86809,1.40252,1.34485,0.70538,0.56867,0.62189,0.38795,0.70538,0.56867,0.62411,0.39839,1.35282,2.11,1.33506,1.51315,0.00124509,0.00124509,0.00124509
15,251.2,1.23198,1.86838,1.39959,1.34161,0.64597,0.59348,0.63979,0.41343,0.65675,0.60459,0.64557,0.40837,1.27184,2.05229,1.45306,1.47211,0.00123094,0.00123094,0.00123094
16,267.929,1.23671,1.90239,1.33192,1.31775,0.66826,0.6893,0.63877,0.40563,0.65367,0.66351,0.64271,0.40345,1.2594,1.97452,1.34052,1.4731,0.00121679,0.00121679,0.00121679
17,284.332,1.26939,1.92103,1.38712,1.34769,0.6153,0.59575,0.62586,0.39607,0.62388,0.59444,0.63349,0.38851,1.25907,1.91316,1.39416,1.43105,0.00120265,0.00120265,0.00120265
18,301.115,1.16865,1.79702,1.24943,1.28031,0.65932,0.60556,0.62123,0.41152,0.65932,0.60556,0.61558,0.40129,1.25543,1.96693,1.30077,1.52059,0.0011885,0.0011885,0.0011885
19,317.772,1.15783,1.81068,1.29208,1.26833,0.57898,0.63749,0.59739,0.38642,0.57898,0.63749,0.60122,0.38471,1.22438,1.91584,1.32145,1.42835,0.00117435,0.00117435,0.00117435
20,334.509,1.1873,1.83373,1.2901,1.30764,0.58231,0.65,0.60747,0.39941,0.59219,0.65,0.61419,0.38548,1.23948,2.05301,1.25933,1.42791,0.00116021,0.00116021,0.00116021
21,351.288,1.18111,1.77357,1.23666,1.27415,0.64184,0.61733,0.6543,0.41741,0.69119,0.56662,0.6472,0.40501,1.24404,1.95667,1.29997,1.44279,0.00114606,0.00114606,0.00114606
