epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19619,1.34196,2.83603,1.50638,0.29778,0.38158,0.42083,0.28226,0.79869,1.30282,1.22577,8.335e-05,8.335e-05,8.335e-05
2,11.5463,1.05655,1.27459,1.3243,0.43237,0.58269,0.53433,0.39529,0.79839,1.51971,1.14841,0.000181555,0.000181555,0.000181555
3,16.7155,0.90584,0.80984,1.16728,0.88981,0.88561,0.91411,0.5218,0.94158,1.00015,1.15527,0.000277779,0.000277779,0.000277779
4,23.5695,0.84207,0.66308,1.10387,0.86229,0.91343,0.92853,0.61721,0.91228,0.86113,1.13863,0.000372023,0.000372023,0.000372023
5,30.0324,0.79805,0.56184,1.06806,0.93173,0.95247,0.96834,0.72261,0.77501,0.90382,1.08247,0.000464286,0.000464286,0.000464286
6,37.8402,0.78033,0.54943,1.0574,0.8185,0.97039,0.97286,0.76631,0.80155,0.70673,1.12327,0.000554569,0.000554569,0.000554569
7,45.4341,0.78139,0.53484,1.07449,0.88247,0.91477,0.9594,0.70114,0.79459,0.89016,1.13816,0.000642872,0.000642872,0.000642872
8,53.5878,0.76731,0.48525,1.04452,0.94167,0.90928,0.97092,0.70721,0.83838,0.69651,1.1635,0.000729194,0.000729194,0.000729194
9,60.8371,0.78326,0.54509,1.06596,0.6358,0.8507,0.74232,0.5321,0.84489,0.81464,1.15714,0.000813536,0.000813536,0.000813536
10,68.8998,0.76071,0.49159,1.06123,0.73906,0.94901,0.87139,0.66328,0.74857,0.73627,1.11018,0.000895897,0.000895897,0.000895897
11,76.7536,0.76681,0.48665,1.06999,0.88382,0.90604,0.95218,0.67438,0.71071,0.53,1.08099,0.000976279,0.000976279,0.000976279
12,84.4281,0.74782,0.47889,1.04424,0.83747,0.90521,0.91113,0.68307,0.82628,0.67321,1.15246,0.00105468,0.00105468,0.00105468
13,91.6506,0.74885,0.46082,1.04883,0.84561,0.87687,0.92444,0.65931,0.85997,0.66099,1.18503,0.0011311,0.0011311,0.0011311
14,98.1888,0.75374,0.47645,1.05434,0.82213,0.91941,0.9006,0.69813,0.81682,0.62631,1.1458,0.00120554,0.00120554,0.00120554
15,106.448,0.77468,0.49155,1.0757,0.83494,0.95724,0.93794,0.73092,0.73777,0.58361,1.09875,0.001278,0.001278,0.001278
16,113.966,0.74289,0.46127,1.03935,0.9798,0.92374,0.98139,0.76982,0.70617,0.56304,1.08509,0.00134848,0.00134848,0.00134848
17,121.714,0.75243,0.4587,1.03772,0.97201,0.94408,0.98651,0.75638,0.71319,0.52733,1.08371,0.00140295,0.00140295,0.00140295
