epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.44,2.70847,3.75161,2.68808,0.07549,0.45795,0.04242,0.01255,2.49247,3.49397,2.87633,8.335e-05,8.335e-05,8.335e-05
2,97.6852,2.52237,2.68251,2.5159,0.03262,0.14262,0.02663,0.00733,2.39536,inf,2.65706,0.000181555,0.000181555,0.000181555
3,150.386,2.11291,2.24356,2.1572,0.06387,0.12016,0.04257,0.0099,3.32529,3.26304,2.86811,0.000277779,0.000277779,0.000277779
4,208.051,1.96751,2.21657,2.05983,0.06719,0.15772,0.05343,0.01364,3.46273,5.29335,4.79065,0.000372023,0.000372023,0.000372023
5,257.146,1.87954,2.18637,2.04271,0.59361,0.13591,0.06576,0.01617,3.38053,2.20783,4.79757,0.000464286,0.000464286,0.000464286
6,303.474,1.91685,2.16832,2.07859,0.64024,0.2047,0.15725,0.04055,3.10257,2.38993,3.53845,0.000554569,0.000554569,0.000554569
7,351.339,1.82588,2.19084,2.00624,0.14855,0.34426,0.12261,0.03468,3.34174,2.71263,4.72144,0.000642872,0.000642872,0.000642872
8,405.706,1.74465,2.10389,1.92854,0.00613,0.05882,0.00513,0.00189,3.80849,116.984,8.36485,0.000729194,0.000729194,0.000729194
9,456.361,1.81544,2.14937,2.03468,0.01282,0.05882,0.03402,0.01051,3.77429,5.73759,8.58164,0.000813536,0.000813536,0.000813536
10,509.833,1.77308,2.12713,2.02443,0.59076,0.05369,0.04005,0.0067,4.0128,2.29533,13.5595,0.000895897,0.000895897,0.000895897
11,569.037,1.75463,2.12557,2.00317,0.28254,0.31128,0.10631,0.03704,3.77609,2.17721,16.0754,0.000976279,0.000976279,0.000976279
12,633.603,1.70767,2.11534,1.9303,0.04395,0.42065,0.04011,0.00736,3.93674,27.4827,17.1997,0.00105468,0.00105468,0.00105468
13,697.929,1.70668,2.10751,1.90903,0.10953,0.41907,0.09292,0.02807,2.60318,5.84479,3.49514,0.0011311,0.0011311,0.0011311
14,762.427,1.76845,2.10899,1.95441,0.0957,0.38624,0.0983,0.03296,2.15301,3.61751,2.47129,0.00120554,0.00120554,0.00120554
15,833.665,1.73852,2.11232,1.96604,0.08924,0.36129,0.07125,0.02336,2.44303,3.32691,2.94928,0.001278,0.001278,0.001278
16,887.764,1.72973,2.10571,1.9352,0.09008,0.64676,0.08804,0.02967,1.91206,4.25485,2.25496,0.00134848,0.00134848,0.00134848
17,949.753,1.70815,2.08959,1.93187,0.11198,0.50326,0.10864,0.03395,2.11662,5.1543,2.455,0.00140295,0.00140295,0.00140295
18,996.638,1.71569,2.10242,1.91514,0.11155,0.33922,0.09852,0.02927,1.99251,3.16705,2.19955,0.00138644,0.00138644,0.00138644
19,1044.91,1.70286,2.08063,1.90437,0.07101,0.29964,0.0703,0.02423,2.43106,2.90555,2.57199,0.00136994,0.00136994,0.00136994
20,1091.99,1.62833,2.1124,1.87479,0.16625,0.66302,0.20258,0.06567,2.34287,3.65403,2.92116,0.00135344,0.00135344,0.00135344
21,1147.25,1.67537,2.07781,1.91984,0.15569,0.70134,0.22338,0.07851,2.13407,3.77565,2.59243,0.00133693,0.00133693,0.00133693
22,1205.59,1.68631,2.07821,1.89678,0.22796,0.51165,0.21629,0.12411,2.05665,3.69228,2.27601,0.00132043,0.00132043,0.00132043
23,1284.16,1.63456,2.06295,1.83575,0.11242,0.51244,0.15238,0.08145,2.03444,3.94518,2.23167,0.00130393,0.00130393,0.00130393
24,1350.79,1.65517,2.09107,1.85836,0.16368,0.51648,0.20277,0.08017,2.05263,2.67432,2.34063,0.00128742,0.00128742,0.00128742
25,1416.48,1.65055,2.06202,1.85662,0.17687,0.55968,0.2389,0.10431,1.80103,2.88694,2.04663,0.00127092,0.00127092,0.00127092
26,1482.54,1.60822,2.04601,1.8249,0.13552,0.47878,0.1642,0.05405,2.21387,2.46905,2.45693,0.00125442,0.00125442,0.00125442
27,1548.1,1.61591,2.02904,1.84283,0.21176,0.42242,0.2034,0.08094,2.12073,2.2457,2.35777,0.00123791,0.00123791,0.00123791
28,1603.82,1.63875,2.03925,1.88031,0.25301,0.32353,0.15262,0.04134,2.64885,2.8164,3.8367,0.00122141,0.00122141,0.00122141
29,1653.44,1.5759,1.99523,1.82448,0.25995,0.69799,0.24443,0.11037,1.74089,2.04254,1.9515,0.00120491,0.00120491,0.00120491
30,1709.4,1.53995,1.98855,1.78477,0.82595,0.27207,0.38866,0.19994,1.641,1.96606,1.83482,0.0011884,0.0011884,0.0011884
31,1769.42,1.64786,1.9471,1.82614,0.35053,0.3939,0.41181,0.18789,1.86194,2.01683,2.02067,0.0011719,0.0011719,0.0011719
32,1830.07,1.63802,1.95107,1.81398,0.57336,0.27982,0.36052,0.14431,2.07606,2.32775,2.13764,0.0011554,0.0011554,0.0011554
33,1892.92,1.61259,2.0103,1.83851,0.32119,0.40565,0.41669,0.23217,1.56588,1.94888,1.74468,0.00113889,0.00113889,0.00113889
34,1941.7,1.53939,1.94174,1.77455,0.38555,0.63413,0.41634,0.17931,1.64979,2.09506,1.79943,0.00112239,0.00112239,0.00112239
35,1986.14,1.51525,1.94174,1.75679,0.31464,0.42233,0.3077,0.10965,2.04054,2.27733,2.19548,0.00110589,0.00110589,0.00110589
36,2031.67,1.59937,1.96287,1.82409,0.26206,0.43743,0.25386,0.10385,1.85051,2.00388,2.01133,0.00108938,0.00108938,0.00108938
37,2084.04,1.5007,1.924,1.74346,0.23397,0.41619,0.20297,0.09057,2.05627,2.00986,2.26883,0.00107288,0.00107288,0.00107288
38,2133.5,1.54212,1.90735,1.77374,0.26839,0.48371,0.28187,0.12938,1.7061,1.93325,1.87718,0.00105638,0.00105638,0.00105638
39,2181.95,1.54643,1.93015,1.79278,0.40911,0.53849,0.35605,0.15774,1.61909,1.89038,1.79624,0.00103987,0.00103987,0.00103987
40,2241.84,1.484,1.89777,1.74244,0.35023,0.65259,0.40697,0.23894,1.51704,1.82559,1.70568,0.00102337,0.00102337,0.00102337
41,2299.81,1.53752,1.89956,1.7706,0.30315,0.59534,0.32134,0.19098,1.52311,1.92973,1.74134,0.00100687,0.00100687,0.00100687
42,2355.37,1.48154,1.87728,1.74337,0.2815,0.44114,0.26304,0.10861,1.92516,2.10353,2.11189,0.000990365,0.000990365,0.000990365
43,2422.54,1.48343,1.88617,1.74542,0.26749,0.40387,0.27038,0.10193,2.23331,2.09741,2.4038,0.000973861,0.000973861,0.000973861
44,2467,1.47637,1.83444,1.72759,0.3507,0.61064,0.46865,0.27134,1.36233,1.84928,1.56313,0.000957358,0.000957358,0.000957358
45,2522.99,1.5701,1.89292,1.79846,0.35748,0.61903,0.47905,0.28085,1.34434,1.78402,1.54435,0.000940855,0.000940855,0.000940855
46,2567.55,1.4644,1.84359,1.7219,0.14493,0.40744,0.18065,0.04666,2.74256,2.11509,3.07091,0.000924352,0.000924352,0.000924352
47,2614.84,1.43175,1.81197,1.68372,0.19828,0.43229,0.21633,0.07358,2.14461,2.03442,2.34696,0.000907848,0.000907848,0.000907848
48,2660.68,1.49306,1.89524,1.75083,0.36502,0.48026,0.32602,0.16995,1.51431,1.83866,1.69989,0.000891345,0.000891345,0.000891345
49,2706.58,1.55005,1.88151,1.79119,0.30625,0.50711,0.32194,0.1526,1.4874,1.85621,1.70348,0.000874842,0.000874842,0.000874842
50,2753.94,1.40917,1.79758,1.67901,0.28606,0.62643,0.29613,0.14093,1.51101,1.89078,1.78483,0.000858338,0.000858338,0.000858338
51,2802.63,1.45114,1.84233,1.70842,0.34078,0.49961,0.31762,0.1959,1.35753,1.7811,1.60928,0.000841835,0.000841835,0.000841835
52,2852.18,1.51407,1.8478,1.75623,0.321,0.67765,0.34074,0.21449,1.34604,1.73654,1.59569,0.000825332,0.000825332,0.000825332
53,2902.09,1.47825,1.82711,1.7268,0.29457,0.54129,0.30191,0.15864,1.44709,1.82973,1.66559,0.000808828,0.000808828,0.000808828
54,2949.26,1.41284,1.80374,1.67368,0.23212,0.58863,0.26105,0.1078,1.68758,1.92181,1.86097,0.000792325,0.000792325,0.000792325
55,3001.21,1.41686,1.80086,1.66636,0.28582,0.70717,0.32317,0.14711,1.50767,1.82694,1.70988,0.000775822,0.000775822,0.000775822
56,3050.85,1.42488,1.75391,1.66195,0.34644,0.71474,0.36688,0.13213,1.55964,1.90769,1.7389,0.000759318,0.000759318,0.000759318
57,3102.64,1.39862,1.73291,1.63963,0.28746,0.58329,0.3094,0.13348,1.53962,1.83819,1.70398,0.000742815,0.000742815,0.000742815
58,3154.23,1.41023,1.74115,1.67679,0.36158,0.51974,0.37663,0.20985,1.38209,1.81219,1.61639,0.000726312,0.000726312,0.000726312
59,3207.52,1.37523,1.74612,1.66122,0.3817,0.49872,0.41314,0.26357,1.39885,1.80722,1.62201,0.000709809,0.000709809,0.000709809
60,3259.61,1.41445,1.74257,1.68676,0.37886,0.66677,0.44117,0.26152,1.51284,1.75329,1.68097,0.000693305,0.000693305,0.000693305
61,3311.61,1.45262,1.68408,1.6822,0.31409,0.64399,0.3721,0.13499,2.21519,1.93158,2.34748,0.000676802,0.000676802,0.000676802
62,3361.72,1.47459,1.76401,1.73939,0.36939,0.52556,0.40484,0.22392,1.4058,1.73951,1.63628,0.000660299,0.000660299,0.000660299
63,3407.32,1.37229,1.70468,1.65877,0.34419,0.50375,0.38637,0.2214,1.28906,1.65189,1.545,0.000643795,0.000643795,0.000643795
64,3453.7,1.35984,1.68656,1.64511,0.36491,0.74408,0.37037,0.18226,1.32933,1.65453,1.58236,0.000627292,0.000627292,0.000627292
65,3506.34,1.42152,1.78997,1.73678,0.37336,0.67826,0.40192,0.18578,1.33761,1.68395,1.58969,0.000610789,0.000610789,0.000610789
66,3550.99,1.3733,1.742,1.67187,0.3046,0.75671,0.41978,0.22622,1.56057,1.76487,1.78016,0.000594286,0.000594286,0.000594286
67,3598.2,1.48618,1.73551,1.72255,0.37202,0.71644,0.47074,0.27378,1.32017,1.63972,1.59748,0.000577782,0.000577782,0.000577782
